Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Consiracionista?,Post Negacionista?
Verdades_ocultas07,https://www.tiktok.com/@verdades_ocultas07?_t=ZM-8u32C6eTc2P&_r=1,1,1,1,,,https://vm.tiktok.com/ZMk7oWSvJ/,Agenda global e vacina,1,1,0
S.truth7,https://www.tiktok.com/@s.truth7?_t=ZM-8u4sZEZSGhB&_r=1,1,1,1,,,https://vm.tiktok.com/ZMkv1fW8Q/,Morte de PhD em quimica após revelar segredos sobre a vacina,1,1,0
drfranciscocardoso79,https://www.tiktok.com/@drfranciscocardoso79?is_from_webapp=1&sender_device=pc,1,0,1,Médico infectologista,1,https://www.tiktok.com/@wwwtiktokelianebraga/video/7258276888613817606?_r=1&_t=ZM-8u33aWiAgAp,"Vacinas matam. Em outro vídeo, ele evidencia a falta de estudos quanto a relação dos imunizantes e da ""ativação"" de doenças autoimunes — não disse que causa, apesar de se apresentar favorável: https://www.tiktok.com/@drfranciscocardoso79/video/7449045408367594758",1,0,1
drdrew,https://www.tiktok.com/@drdrew?is_from_webapp=1&sender_device=pc,1,0,1,Médico,1,https://www.tiktok.com/@fbcuriosidadess/video/7240566524799372549?_t=ZM-8u4hMWEUYVz&_r=1,Vacinas matam,1,1,0
felipeuber5,https://www.tiktok.com/@felipeuber5,1,1,0,,,https://www.tiktok.com/@eliane382026/video/7242838237008416005?_r=1&_t=ZM-8u4hSpRzmMx,Problemas cardíacos estão sendo causados por vacinas,1,0,1
enfermeiralavinia,https://www.tiktok.com/@enfermeiralavinia,0,0,0,Enfermeira,1,https://vm.tiktok.com/ZMkvGapT9/,Roberto Zeballos comenta sobre medidas contra a covid19,1,0,1
saudavelmentexp,https://www.tiktok.com/@saudavelmentexp,0,0,0,,,https://www.tiktok.com/@oparyzen/video/7296655011059092742?is_from_webapp=1&sender_device=pc&web_id=7473160730499352070,Vacinação infantil,1,0,1
the_cell_bio,https://www.tiktok.com/@the_cell_bio,0,0,0,,,https://vm.tiktok.com/ZMkvnFwSo/,A verdade sobre as vacinas ,1,1,0
cleberos2,https://www.tiktok.com/@cleberos2,0,0,1,,,https://www.tiktok.com/@cleberos2/video/7054950517302103301?is_from_webapp=1&sender_device=pc&web_id=7437710703207499319,Mortes súbitas e vacinas,1,0,1
elcimarasouza173,https://www.tiktok.com/@elcimarasouza173,0,0,0,Enfermeira; Especialista em UTI e Saúde,1,https://www.tiktok.com/@tforasteiro/video/7049053380123135238?_r=1&_t=ZM-8u53SwL0RPj,Mortes súbitas e vacinas,1,0,1
provalo,https://www.tiktok.com/@prolavo,0,0,0,,,https://www.tiktok.com/@evolucao_conscientee/video/7470630281179958534?_r=1&_t=ZM-8u53q7DMhJ0,Mortes súbitas e vacinas ,1,0,1
esquerdavencedora,https://www.tiktok.com/@esquerdavencedora,0,0,0,,,https://www.tiktok.com/@karinaoliveira61/video/7325368313742134533,Vacinas não devem ser obrigatórias para crianças,1,0,1
dosesdciencia,https://www.tiktok.com/@dosesdciencia,0,0,0,,,https://www.tiktok.com/@denisonayal/video/7464948520227818757,Vacinas não salvam a humanidade das doenças,1,0,1
