"perfil","link_do_perfil","antivax","provax","conspiracionista","negacionista","profissao"
"Professor PADilla, Comendador Luiz Roberto Nuñes Padilla","https://www.facebook.com/ProfessorPadilla",TRUE,NA,TRUE,TRUE,"Professor; Advogado; Tutor; Terapeuta; Candidato Político"
"Doutor Regis Dewes","https://www.facebook.com/regis.dewes.1",TRUE,NA,TRUE,TRUE," Médico otorrinolaringologista"
"Associação Salto Quântico","https://www.facebook.com/profile.php?id=100093310998980",TRUE,NA,TRUE,TRUE,"Blogueiro(a)"
"Soberanum Veritas","https://www.facebook.com/SOBERANUMVERITAS",TRUE,NA,TRUE,TRUE,"Jurídico; Educação"
"Vanda Bonalume","https://www.facebook.com/vanda.bonalume1",FALSE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital"
"Karina Michelin","https://www.facebook.com/karina.michelin",TRUE,NA,TRUE,TRUE,"Jornalista; Apresentadora"
"Andre Marcio Murad","https://www.facebook.com/andre.m.murad",FALSE,NA,FALSE,FALSE,"Médico oncologista"
"Cristian Terhes","https://www.facebook.com/CristianVTerhes",TRUE,NA,FALSE,TRUE,"Político; Europarlamentar"
"Vera Würzius","https://www.facebook.com/vera.wurzius",FALSE,NA,FALSE,TRUE,"Terapeuta Holística"
"Vanda Bonalume","https://www.facebook.com/vanda.bonalume1",FALSE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital"
"Dr. Francisco Cardoso","https://www.facebook.com/profile.php?id=100087156434603",TRUE,NA,FALSE,TRUE,"Médico Infectologista"
"Dr. Afonso Papke - Reumatologista","https://www.facebook.com/afonsopapkereumato",FALSE,NA,FALSE,FALSE,"Médico Reumatologista"
"Fono Fran Oliveira","https://www.facebook.com/profile.php?id=61566165728652",FALSE,NA,FALSE,FALSE,"Médica Fonoaudióloga"
"Luciano Ducci","https://www.facebook.com/lucianoducci",FALSE,NA,FALSE,FALSE,"Deputado Federal"
"Portugal Português","https://www.facebook.com/profile.php?id=100079500147897",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"Dr. Frederico","https://www.facebook.com/DrFredericoMG",TRUE,NA,TRUE,TRUE,"Médico Oncologista; Deputado Federal"
"","",NA,NA,NA,NA,"Engenheiro de Automação e Controle; Projetista"
