"perfil","link_do_perfil","antivax","provax","conspiracionista","negacionista","profissao"
"despertandoleosoficial","https://www.instagram.com/despertandoleoesoficial",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"danielcabral_01","https://www.instagram.com/danielcabral_01",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"despertos_damatrix","https://www.instagram.com/despertos_damatrix",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"andresousa_medico","https://www.instagram.com/andresousa_medico",TRUE,NA,FALSE,TRUE," Médico oftalmologista"
"arleneferrarigraf","https://www.instagram.com/arleneferrarigraf",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital"
"draemiliaserra","https://www.instagram.com/draemiliaserra",TRUE,NA,TRUE,TRUE,"Médica investigativa"
"profjoao.alberto","https://www.instagram.com/profjoao.alberto",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital; Advogado; Professor; Pastor; Jornalista"
"edubastosmlima","https://www.instagram.com/edubastosmlima",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital; Advogado; Geógrafo"
"dr.rodrigo.martins.soares","https://www.instagram.com/dr.rodrigo.martins.soares",TRUE,NA,FALSE,TRUE,"Advogado"
"drfranciscocardoso","https://www.instagram.com/drfranciscocardoso79",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital; Médico infectologista"
"zumbizandooficial","https://www.instagram.com/zumbizandoficial",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"doutoraraissasoaresoficial","https://www.instagram.com/doutoraraissasoaresoficial",TRUE,NA,TRUE,TRUE,"Médica clínica"
"karinamichelin","https://www.instagram.com/karinamichelin",TRUE,NA,TRUE,TRUE,"Jornalista"
"zorkotaida","https://www.instagram.com/zorkotaid",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"drfranciscocardoso79","https://www.instagram.com/drfranciscocardoso7",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital; Médico infectologista"
"dr.felipebtrofino","https://www.instagram.com/dr.felipebtrofin",TRUE,NA,FALSE,TRUE,"Médico clínico; Neurocientista; Terapeuta; Palestrante; Professor"
