"perfil","link_do_perfil","antivax","provax","conspiracionista","negacionista","profissao"
"Naiara Cruz ❤️🕊","https://k.kwai.com/u/@naiaracruz1204/77otSqCS",FALSE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"EVANGELISTAS DO APOCALIPSE","https://k.kwai.com/u/@evangelistas.do.ap/dnnCJ4sf",TRUE,NA,TRUE,FALSE,"Criador de conteúdo digital "
"LuckUberaba","https://k.kwai.com/u/@LuckMG/cqNNHCTG",FALSE,NA,TRUE,TRUE,"Criador de conteúdo digital "
"JB Nunes595","https://k.kwai.com/u/@uwecj389/q2DJkBCl",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"a_vida_é_feita_de_escolhas","https://k.kwai.com/u/@dnodl552/E5nCB13z",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"Deus Pátria Família Liberdade","https://k.kwai.com/u/@030576fff/14rCx1T7",FALSE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"Repasse de notícias 📰","https://k.kwai.com/u/@RepassedeNoticias/oGl7rHCz",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"Notícias & Críticas","https://k.kwai.com/u/@danilodavi_86/tCCoFkL5",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"japa","https://k.kwai.com/u/@akemyokawa/XDsCOqfw",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital "
"gilvfreitas","https://k.kwai.com/u/@gilvfreitas/NYoSUCRP",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"PH❣️","https://k.kwai.com/u/@akkyy749/vOWrACyd",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital "
"Alex Ribeiro3622","https://k.kwai.com/u/@Alex065/aECnoMCV",TRUE,NA,FALSE,TRUE,"Criador de conteúdo digital "
"pauloaraujo13","https://k.kwai.com/u/@pauloaraujo13/kcCoRBiR",FALSE,NA,FALSE,FALSE,"Criador de conteúdo digital "
"Joao Bittencourt 10","https://www.kwai.com/@titosantos6512",TRUE,NA,TRUE,TRUE,"Criador de conteúdo digital "
