"link_de_post","conteudo_de_post","antivax","provax","conspiracionista","negacionista","profissao"
"https://vm.tiktok.com/ZMk7oWSvJ","Agenda global e vacina",TRUE,NA,TRUE,FALSE,""
"https://vm.tiktok.com/ZMkv1fW8Q","Morte de PhD em quimica após revelar segredos sobre a vacina",TRUE,NA,TRUE,FALSE,""
"https://www.tiktok.com/@eliane382026/video/7242838237008416005","Problemas cardíacos estão sendo causados por vacinas",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@oparyzen/video/7296655011059092742","Vacinação infantil",TRUE,NA,FALSE,TRUE,""
"https://vm.tiktok.com/ZMkvnFwSo","A verdade sobre as vacinas ",TRUE,NA,TRUE,FALSE,""
"https://www.tiktok.com/@cleberos2/video/7054950517302103301","Mortes súbitas e vacinas",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@evolucao_conscientee/video/7470630281179958534","Mortes súbitas e vacinas ",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@karinaoliveira61/video/7325368313742134533","Vacinas não devem ser obrigatórias para crianças",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@denisonayal/video/7464948520227818757","Vacinas não salvam a humanidade das doenças",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@luzenir.mendes2/video/7386136709445995781","Aztrazeneca e Pfizer: sintomas de trombose",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@saudetodaay/video/7224977241220959514","Condimentos que eliminam substâncias químicas danosas contidas nas vacinas ",TRUE,NA,TRUE,FALSE,""
"https://www.tiktok.com/@warmanbrasil/video/7249078824170736901","Princípios e valores: negar as vacinas  ",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@carlos75326/video/7265889917455174917","Pfizer é um perigo",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@cleitinho.oficial/video/7320006708925943046","Projeto de lei que proíbe vacinação obrigatória",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@carolinebragacosta/video/7464400830041459974","Não autorizei  a vacina do covid no meu filho",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@metropolesoficial/video/7011948656026864902","Vereador antivacina é impedido de entrar no cristo redentor",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@iulhapfaff_/video/7468507475684199685","Não autorizei  a vacina do covid no meu filho",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@institutobutantan/video/6984156440571219205","A vacina da covid tem imã",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@questaonom/video/6856556073160133893","Vacina contém fetos abordados ",TRUE,NA,TRUE,TRUE,""
"https://www.tiktok.com/@rosemacedoendrigo/video/6981810810486066437","Reação da astrazeneca",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@alexialimalf/video/7403461535420468486","Vacine bebês",FALSE,NA,FALSE,FALSE,""
